Method,Time (s),Recon MSE,Trustworthiness,Continuity,Kruskal Stress,k-NN Acc.
PCA,0.18,0.0558,0.7329,N/A,N/A,0.4143±0.0076
Kernel PCA (RBF),7.09,0.0563,0.7208,N/A,N/A,0.3818±0.0059
t-SNE (perp=5),21.87,N/A,0.9925,N/A,8.7587,0.9397±0.0050
t-SNE (perp=30),27.27,N/A,0.9919,N/A,6.6294,0.9443±0.0058
t-SNE (perp=50),32.09,N/A,0.9906,N/A,5.6838,0.9447±0.0060
"UMAP (nn=15, md=0.1)",40.48,N/A,0.9612,N/A,0.4526,0.9383±0.0070
"UMAP (nn=15, md=0.5)",17.75,N/A,0.9342,N/A,0.4344,0.8869±0.0046
"UMAP (nn=30, md=0.1)",24.55,N/A,0.9538,N/A,0.4747,0.9218±0.0065
"UMAP (nn=30, md=0.5)",24.75,N/A,0.9365,N/A,0.4538,0.8837±0.0066
Autoencoder,11.32,0.035,0.9462,N/A,N/A,0.7864±0.0079
